codigo,descricao,marca,grupo,subgrupo,preco
"17156,""VID GM S10 PT 12/... VDE DE (TRAILBLAZER 12/...) FN"",FANAVID,VIDRO,VIDRO DE PORTA,103.13"
"16025,""VID GM S10 PT 12/... VDE TD AGC"",AGC,VIDRO,VIDRO DE PORTA,180.00"
"16809,""VID GM S10 PT 12/... VDE TD FN"",FANAVID,VIDRO,VIDRO DE PORTA,102.13"
"16026,""VID GM S10 PT 12/... VDE TE AGC"",AGC,VIDRO,VIDRO DE PORTA,180.00"
"17339,""VID GM S10 PT 12/... VDE TE FN"",FANAVID,VIDRO,VIDRO DE PORTA,102.13"
"6541,""VID GM S10 PT 12/... VDE TE SG"",SEKURIT (SAINT GOBAIN),VIDRO,VIDRO DE PORTA,201.56"
"12833,""VID GM S10 VG 12/... VDE C/ TER AGC"",AGC,VIDRO,VIGIA,428.00"
"16260,""VID GM S10 VG 12/... VDE C/ TER BD"",BLIND,VIDRO,VIGIA,281.20"
"14975,""BOR VG S/FRISO (VW SANTANA GI 84/90)(29144)"",BORRACHAUTO,BORRACHA,VIGIA,108.85"
"6430,""BOR VG S/FRISO (VW VOYAGE GI 81/95)(29157)"",BORRACHAUTO,BORRACHA,VIGIA,82.08"
"16613,""BOR.PTA.FIXA NA CARROCERIA C/4.21MTS (VOLVO FH/ NH 99/15)(31016)"",BORRACHAUTO,BORRACHA,PORTA,62.60"
"18457,""BORDA PROTETORA DE PORTA COR BRANCO CX5MTS"",BORRACHAUTO,BORRACHA,ADAPTACAO LINHA COMPACTA,32.41"
"18455,""BORDA PROTETORA DE PORTA COR PRATA CX5MTS"",BORRACHAUTO,BORRACHA,ADAPTACAO LINHA COMPACTA,32.41"
"18454,""BORDA PROTETORA DE PORTA COR PRETO CX5MTS"",BORRACHAUTO,BORRACHA,ADAPTACAO LINHA COMPACTA,32.41"
"18456,""BORDA PROTETORA DE PORTA COR VERMELHO CX5MTS"",BORRACHAUTO,BORRACHA,ADAPTACAO LINHA COMPACTA,32.41"
"34727,""BORR TRIBULBO C/ABA PRETA C/25MTS"",BORRACHAUTO,BORRACHA,,11.08"
"27769,""BORRACHA ARREMATE ESQUERDO OU DIREITO PARABRISA VOLKSWAGEN PARATI 1999 A 2012 BORRACHAUTO"",BORRACHAUTO,BORRACHA,PARABRISA,10.30"
"27771,""BORRACHA ARREMATE ESQUERDO OU DIREITO PARABRISA VOLKSWAGEN SAVEIRO 2000 A 2009 BORRACHAUTO"",BORRACHAUTO,BORRACHA,PARABRISA,10.30"
"32524,""BORRACHA ARREMATE EXTERNO VIDRO PARABRISA FIAT TEMPLA SW 1995 A 1997 BORRACHAUTO"",BORRACHAUTO,BORRACHA,PARABRISA,26.44"
"29315,""KIT BORRACHA 2 PORTAS E MALA FORD ESCORT 1993 A 2002 BORRACHAUTO"",BORRACHAUTO,BORRACHA,,0.00"
"32198,""KIT BORRACHA 2 PORTAS E MALA FORD KA HATCH 2015 A 2022 BORRACHAUTO"",BORRACHAUTO,BORRACHA,PORTA MALAS,34.48"
"32200,""KIT BORRACHA 2 PORTAS E MALA FORD KA SEDAN 2015 A 2022 BORRACHAUTO"",BORRACHAUTO,BORRACHA,PORTA MALAS,34.48"
"29173,""KIT BORRACHA 2 PORTAS E MALA FORD ROYALE 1991 A 1996 BORRACHAUTO"",BORRACHAUTO,BORRACHA,,0.00"
"30600,""KIT BORRACHA 2 PORTAS E MALA FORD ROYALE 1992 A 1996 BORRACHAUTO"",BORRACHAUTO,BORRACHA,PORTA MALAS,133.84"
"27731,""KIT BORRACHA 2 PORTAS E MALA FORD VERONA 1989 A 1992 BORRACHAUTO"",BORRACHAUTO,BORRACHA,,0.00"
